r_damp,eps_couple,input_scale,leak_rate,ridge_alpha,gain_beta,mean_T_VPT,std_T_VPT,mean_NRMSEs,std_NRMSEs,mean_NRMSEs_open_loop,std_NRMSEs_open_loop,mean_ADev,std_ADev
0.1,0.1,0.2,0.5,1e-08,0.1,2.472828492946103,0.751333959205221,"{'200': 0.54008486859574, '400': 1.0476325829900435, '600': 1.1986228767437104, '800': 1.2684853359409032, '1000': 1.293312417218922}","{'200': 0.33153375621435205, '400': 0.19877118094434904, '600': 0.14923070097000227, '800': 0.12606685497535408, '1000': 0.0993681523726902}","{'200': 0.07152376245628383, '400': 0.04950439511751829, '600': 0.040817355306743346, '800': 0.035647837911929825, '1000': 0.031490969868743286}","{'200': 0.040143381781650125, '400': 0.02741852270195024, '600': 0.0226503814612814, '800': 0.019923597823083877, '1000': 0.017589585346356938}",56.37777777777778,10.953008493639015
0.1,0.1,0.2,0.5,1e-08,0.3,2.541364642504734,0.8477828275072304,"{'200': 0.5354766159579872, '400': 1.0714907034851076, '600': 1.1854262193203815, '800': 1.2414601895539639, '1000': 1.2682666336041024}","{'200': 0.3447194779801957, '400': 0.1792800052131713, '600': 0.12251337383328922, '800': 0.11518596623871129, '1000': 0.10594142226776897}","{'200': 0.07800922072394886, '400': 0.054829689830709405, '600': 0.04510483427603954, '800': 0.039323170824396105, '1000': 0.03477782541198365}","{'200': 0.05131755837597861, '400': 0.03688007504635568, '600': 0.03007653911933783, '800': 0.02630401958553861, '1000': 0.0232696317282693}",57.68888888888889,11.90298230084885
0.1,0.1,0.2,0.5,1e-08,0.5,2.36707647722929,0.6868144369669578,"{'200': 0.5758074119260423, '400': 1.072293377069458, '600': 1.2149496482655484, '800': 1.2626157376152116, '1000': 1.2911053059220614}","{'200': 0.29519046043658587, '400': 0.1211381355674047, '600': 0.10439169140697911, '800': 0.09331233469630047, '1000': 0.08589199008680817}","{'200': 0.08608980610775391, '400': 0.05968066798963136, '600': 0.049291441474716445, '800': 0.04300513199429312, '1000': 0.03800696849209881}","{'200': 0.05947388898587438, '400': 0.040867515460796595, '600': 0.03399091563381143, '800': 0.02969489692343791, '1000': 0.02631364588822495}",57.733333333333334,12.504932360206247
0.1,0.1,0.2,0.5,1e-08,0.7,2.45882648389649,0.7166477724889255,"{'200': 0.561613376317468, '400': 1.0879865880469857, '600': 1.1971355707153626, '800': 1.2573818502942469, '1000': 1.2884997860476473}","{'200': 0.32534981735494406, '400': 0.16489247060794424, '600': 0.1342813262534568, '800': 0.11814155608403024, '1000': 0.10566246867134059}","{'200': 0.07366630056670473, '400': 0.05088480495738985, '600': 0.04215661986430928, '800': 0.03679681116338399, '1000': 0.03255252792335601}","{'200': 0.043566590430216746, '400': 0.029803416451717444, '600': 0.024940396864225733, '800': 0.02183294499396066, '1000': 0.019315302446698573}",56.71111111111111,11.592377231463063
0.1,0.1,0.2,0.5,1e-08,0.9,2.35454836386911,0.605252487733268,"{'200': 0.6064259064416402, '400': 1.0980019807179977, '600': 1.2148046466118427, '800': 1.2816367676946103, '1000': 1.302120643231048}","{'200': 0.30130871681703053, '400': 0.1418147594273788, '600': 0.11628921292269188, '800': 0.10570240864993531, '1000': 0.10266700121442703}","{'200': 0.0749176553640519, '400': 0.052246426910307134, '600': 0.04315301890832173, '800': 0.0376279753016269, '1000': 0.03328468879125538}","{'200': 0.04609489046366916, '400': 0.03305674762973149, '600': 0.027561628828706407, '800': 0.023871204618024656, '1000': 0.02116422973461168}",54.888888888888886,12.381387863729122
0.1,0.1,0.2,0.7,1e-08,0.1,2.6972291116622658,0.82969985839454,"{'200': 0.4825029565113316, '400': 1.028089686257276, '600': 1.1598760579503553, '800': 1.2348430091473608, '1000': 1.27154770292585}","{'200': 0.35981168428070454, '400': 0.17136306069935708, '600': 0.13905574131733012, '800': 0.12565432325735648, '1000': 0.11220263874571831}","{'200': 0.04436816878776142, '400': 0.030734638993941004, '600': 0.02530159602542944, '800': 0.022098648932337112, '1000': 0.019531322683774315}","{'200': 0.024773652015780728, '400': 0.016782362383075972, '600': 0.013755220460242903, '800': 0.012112291697359128, '1000': 0.01070751268950805}",56.71111111111111,11.814533840848025
0.1,0.1,0.2,0.7,1e-08,0.3,2.5881608306442296,0.705002803215416,"{'200': 0.5160547877536967, '400': 1.05035105448234, '600': 1.2128488985487047, '800': 1.2721056998650984, '1000': 1.299029175320172}","{'200': 0.32934717251676127, '400': 0.14787482523321435, '600': 0.10214753645820109, '800': 0.08850357921237718, '1000': 0.06671768941338625}","{'200': 0.04136534861724535, '400': 0.028857337459352934, '600': 0.023823322189154218, '800': 0.02074648297412132, '1000': 0.018346499888604068}","{'200': 0.02399352375341017, '400': 0.01696395436212702, '600': 0.013929022454300888, '800': 0.012101793328415907, '1000': 0.010718705390164548}",54.955555555555556,10.321402909715877
0.1,0.1,0.2,0.7,1e-08,0.5,2.7038616422647146,0.8451482583149282,"{'200': 0.4923136892183365, '400': 1.0728752908816108, '600': 1.216654096302618, '800': 1.2753857736111789, '1000': 1.3042180168704067}","{'200': 0.3622894434600182, '400': 0.16219753487680197, '600': 0.11555827832684688, '800': 0.0880363713443772, '1000': 0.07622822112402394}","{'200': 0.041368885035805304, '400': 0.02864969714859599, '600': 0.023661363771710534, '800': 0.020643325932891827, '1000': 0.01824415601595073}","{'200': 0.022675844896917728, '400': 0.015423972066664281, '600': 0.01284811071655185, '800': 0.011275516796841288, '1000': 0.009981413987904145}",55.15555555555556,11.315585231697142
0.1,0.1,0.2,0.7,1e-08,0.7,2.7064409597212222,0.8061692395962808,"{'200': 0.46788740613572394, '400': 1.0044994410097248, '600': 1.1820305320190858, '800': 1.2585156316716728, '1000': 1.2892139858532272}","{'200': 0.35602576920271256, '400': 0.19249664007697184, '600': 0.15180075891907943, '800': 0.11591436146664912, '1000': 0.09918026529939607}","{'200': 0.04713417924074565, '400': 0.03257554981463086, '600': 0.026908466822065435, '800': 0.023497869626774553, '1000': 0.02077730957516433}","{'200': 0.026275361646258766, '400': 0.017932901592653403, '600': 0.014856824955834319, '800': 0.012992295742825436, '1000': 0.011496010141223024}",53.37777777777778,10.420682188990824
0.1,0.1,0.2,0.7,1e-08,0.9,2.620586535811754,0.6712191201054679,"{'200': 0.5034405026354728, '400': 1.0366504463884205, '600': 1.1918834459949925, '800': 1.256034032343791, '1000': 1.2896826198921296}","{'200': 0.3344223148714486, '400': 0.18366205111861306, '600': 0.1194792729011072, '800': 0.09179333759454947, '1000': 0.07633363407279722}","{'200': 0.04150963926797816, '400': 0.02892239225018307, '600': 0.023857504620110263, '800': 0.020811205211163444, '1000': 0.018396119434576603}","{'200': 0.02541957809919137, '400': 0.017936393700567783, '600': 0.014765891781116232, '800': 0.012874789810134698, '1000': 0.011385153105370121}",56.53333333333333,10.003554923681437
0.1,0.1,0.2,0.9,1e-08,0.1,2.8895724991332643,0.879657386596427,"{'200': 0.39168409417260397, '400': 0.9811695362663607, '600': 1.1395303432879358, '800': 1.2138544218443548, '1000': 1.2522628834308633}","{'200': 0.2831405597821864, '400': 0.17644762760385027, '600': 0.14290287722965248, '800': 0.11917773156829828, '1000': 0.09610323876818569}","{'200': 0.038868787076558185, '400': 0.02696030950781416, '600': 0.02228164542734055, '800': 0.019500731085368424, '1000': 0.01724653298973921}","{'200': 0.026116515888455785, '400': 0.018263749530428086, '600': 0.01512731637967815, '800': 0.013323613182370787, '1000': 0.011781098257030685}",57.84444444444444,11.867706987274437
0.1,0.1,0.2,0.9,1e-08,0.3,2.782346587727019,0.8534228326001317,"{'200': 0.4265500047932076, '400': 1.0129599290293763, '600': 1.1900711902991397, '800': 1.2524933295616012, '1000': 1.2912962946004276}","{'200': 0.32703964712301486, '400': 0.17640316712607482, '600': 0.10012944172238285, '800': 0.09550141973375263, '1000': 0.07479320526100133}","{'200': 0.02941860901991069, '400': 0.02046922811417476, '600': 0.016920477641198525, '800': 0.014748443258509165, '1000': 0.013045091536714749}","{'200': 0.015296116163980024, '400': 0.010911847898817653, '600': 0.009115251383812775, '800': 0.007924706522797203, '1000': 0.007018300294840367}",59.577777777777776,13.440385062091188
0.1,0.1,0.2,0.9,1e-08,0.5,2.746973091180627,0.7678425421489735,"{'200': 0.4084450295003328, '400': 0.9977290928069483, '600': 1.1689449619726946, '800': 1.2512194002467039, '1000': 1.2918701142718574}","{'200': 0.28388637479768203, '400': 0.1778906345539818, '600': 0.13674479326063824, '800': 0.10793705085019942, '1000': 0.0989108120844492}","{'200': 0.037510550987328466, '400': 0.025904873738389404, '600': 0.021361786333169767, '800': 0.01869724945549291, '1000': 0.016522520429324263}","{'200': 0.022956350328475286, '400': 0.016061049687778037, '600': 0.013253273733197403, '800': 0.011667884522047598, '1000': 0.010297358161519896}",57.08888888888889,11.809266083550611
0.1,0.1,0.2,0.9,1e-08,0.7,2.9105755127076836,1.0173099889112855,"{'200': 0.42383642017481066, '400': 0.9977698046225393, '600': 1.1746689559174266, '800': 1.2412019533174525, '1000': 1.2801296795984987}","{'200': 0.3417408001037405, '400': 0.2344841140416087, '600': 0.13942054838482104, '800': 0.12274813572127803, '1000': 0.10710528867197906}","{'200': 0.030050731274021296, '400': 0.020906873234874, '600': 0.01729372690914808, '800': 0.0150943784913798, '1000': 0.013349335411176083}","{'200': 0.020573490273158808, '400': 0.014444162198577503, '600': 0.01198138104808135, '800': 0.010488743492149396, '1000': 0.009270848876098296}",56.4,11.34391662718148
0.1,0.1,0.2,0.9,1e-08,0.9,2.822141771341707,0.8874932888343444,"{'200': 0.4195660037245553, '400': 1.0202656838856716, '600': 1.1844161907056938, '800': 1.2459188086613857, '1000': 1.2830395907261203}","{'200': 0.3517842459136017, '400': 0.19391590438132747, '600': 0.11735519201718138, '800': 0.10323507256951249, '1000': 0.08224840406964468}","{'200': 0.03406684837675921, '400': 0.023607329636438863, '600': 0.01957967598786185, '800': 0.017100959202198958, '1000': 0.01511662582450968}","{'200': 0.02160871181790167, '400': 0.015262949100198136, '600': 0.01270321808589227, '800': 0.011129993467408832, '1000': 0.009809003967034971}",57.577777777777776,10.849452395579723
0.1,0.1,0.4,0.1,1e-08,0.1,1.627549315056316,0.6466476932553078,"{'200': 0.8346422294171755, '400': 1.1395754373174134, '600': 1.2631302385549086, '800': 1.3023851854613082, '1000': 1.3259848388414035}","{'200': 0.2978394238881549, '400': 0.19582540391784847, '600': 0.0982254422610951, '800': 0.0905310432945238, '1000': 0.07785490150412595}","{'200': 0.18238721610323846, '400': 0.12605853703203465, '600': 0.10430125534047953, '800': 0.09117339469938074, '1000': 0.08069535465771387}","{'200': 0.09188965800987231, '400': 0.062465680200681065, '600': 0.05266299886594873, '800': 0.04642787093665124, '1000': 0.041209049705945244}",59.355555555555554,11.549229037387072
0.1,0.1,0.4,0.1,1e-08,0.3,1.5785422833826708,0.6590168205275834,"{'200': 0.8199390096124539, '400': 1.12369002199278, '600': 1.2264687857919203, '800': 1.2721657110247173, '1000': 1.3032067642755019}","{'200': 0.30675053123138746, '400': 0.1957999194352646, '600': 0.14184011917270944, '800': 0.13134599272611558, '1000': 0.11266360183031633}","{'200': 0.18397950147093337, '400': 0.12785653917273848, '600': 0.10552167500746937, '800': 0.09203647971140051, '1000': 0.08135215603755405}","{'200': 0.09248592679423746, '400': 0.06470200723040694, '600': 0.05382505717119902, '800': 0.04686341363597303, '1000': 0.04144832884980549}",57.24444444444445,12.640596954180001
0.1,0.1,0.4,0.1,1e-08,0.5,1.6592380723791238,0.8124391262615366,"{'200': 0.8135291527551763, '400': 1.1212239618484483, '600': 1.2297829975970145, '800': 1.2595165335098988, '1000': 1.2922296325569433}","{'200': 0.35698854885826625, '400': 0.16915356707333246, '600': 0.11942267688986338, '800': 0.11880059928314608, '1000': 0.10106858010204563}","{'200': 0.17574621871664337, '400': 0.1226018962428676, '600': 0.10104416803623031, '800': 0.08817125276117495, '1000': 0.07804568852463281}","{'200': 0.09306926754374702, '400': 0.06563276957333887, '600': 0.053853104432491805, '800': 0.04718574153800008, '1000': 0.04187962607203619}",56.71111111111111,12.34075852561966
0.1,0.1,0.4,0.1,1e-08,0.7,1.7495141833568915,0.6799343366925342,"{'200': 0.7753296500423624, '400': 1.101217436492915, '600': 1.2247546984419975, '800': 1.2863102223551492, '1000': 1.3120913820837197}","{'200': 0.3005041180653607, '400': 0.17988496935785334, '600': 0.13417196513398905, '800': 0.10885484869325496, '1000': 0.08218068808630015}","{'200': 0.1923366341290041, '400': 0.1340260864122702, '600': 0.110748552899838, '800': 0.0964298994731209, '1000': 0.08516962981152468}","{'200': 0.09722548159329396, '400': 0.069130127714273, '600': 0.057141120730606405, '800': 0.04941754495140937, '1000': 0.043399024082308134}",58.55555555555556,10.98798445890491
0.1,0.1,0.4,0.1,1e-08,0.9,1.6710292378945872,0.7726169779702503,"{'200': 0.8507687928239946, '400': 1.1386618024827915, '600': 1.2262710801998984, '800': 1.2727413864097532, '1000': 1.2962919860659254}","{'200': 0.32051731862457333, '400': 0.1938324305003428, '600': 0.14867182622647684, '800': 0.12403111305181037, '1000': 0.10505846630595682}","{'200': 0.18511020387153668, '400': 0.12886376009082165, '600': 0.10655462712195904, '800': 0.09285559179099222, '1000': 0.08214063040823533}","{'200': 0.09655431323624142, '400': 0.06781942477551664, '600': 0.05643937037854869, '800': 0.04903201882559703, '1000': 0.04344769501896452}",59.82222222222222,11.417898014158665
0.1,0.1,0.4,0.3,1e-08,0.1,2.764291365531465,0.7256032788624538,"{'200': 0.39595587980670405, '400': 0.994388377291715, '600': 1.1461170377374268, '800': 1.2168685475252807, '1000': 1.2519258122032235}","{'200': 0.2573290390534166, '400': 0.16189518150622892, '600': 0.13152979406085374, '800': 0.11068383087822539, '1000': 0.09809195609638997}","{'200': 0.10298458451426383, '400': 0.07181089347336407, '600': 0.05911826716695884, '800': 0.051488338590925914, '1000': 0.045504464126519976}","{'200': 0.06798125157259179, '400': 0.04776660470086371, '600': 0.03902942984652895, '800': 0.03392610580930993, '1000': 0.02995386435304308}",55.75555555555555,10.718945958868147
0.1,0.1,0.4,0.3,1e-08,0.3,2.701650798730565,0.8181868651122184,"{'200': 0.4400049083451629, '400': 1.001130452104868, '600': 1.155942977729873, '800': 1.2318616241960385, '1000': 1.2630297887027389}","{'200': 0.3055793514635991, '400': 0.1846556327976826, '600': 0.13215440464833356, '800': 0.12194552787837877, '1000': 0.10200996321361144}","{'200': 0.10564524071864488, '400': 0.07337477427197803, '600': 0.060208736717276175, '800': 0.052534227592033564, '1000': 0.04636773038411079}","{'200': 0.06379923722447547, '400': 0.04434049355470341, '600': 0.03594133470184943, '800': 0.03144520454975551, '1000': 0.02764367462157605}",55.2,10.669999479329363
0.1,0.1,0.4,0.3,1e-08,0.5,2.706440959721223,0.8380882460584671,"{'200': 0.46334320432097276, '400': 0.9954913619481477, '600': 1.1689200541284916, '800': 1.2523518043310793, '1000': 1.2920576273023936}","{'200': 0.3243965355801783, '400': 0.16098932514336742, '600': 0.10929408843699287, '800': 0.09472761455963709, '1000': 0.08226583037394232}","{'200': 0.09642733811459636, '400': 0.06662775894964285, '600': 0.05486149461719792, '800': 0.04783911875416398, '1000': 0.042261334482026854}","{'200': 0.05828955186810761, '400': 0.03924388691444346, '600': 0.032356162924604435, '800': 0.02827076713764715, '1000': 0.02499856745650194}",54.955555555555556,12.296260597895525
0.1,0.1,0.4,0.3,1e-08,0.7,2.7057040118765063,0.8466065051216827,"{'200': 0.4730662741180384, '400': 1.025166144960416, '600': 1.1752829668701117, '800': 1.2330974917926045, '1000': 1.275600007534036}","{'200': 0.34957046013445914, '400': 0.14486588552682872, '600': 0.10476433289014761, '800': 0.11028337322074838, '1000': 0.08302132027378796}","{'200': 0.10749761072292506, '400': 0.07476753450507645, '600': 0.061835542689682874, '800': 0.053824896555261584, '1000': 0.04763820730989444}","{'200': 0.0692372977197704, '400': 0.04895396401393672, '600': 0.040705929745907886, '800': 0.03517628046902913, '1000': 0.03125037218902253}",58.28888888888889,11.956629443715357
0.1,0.1,0.4,0.3,1e-08,0.9,2.9769008187321657,0.9683936333450713,"{'200': 0.33465216985137997, '400': 0.9650814208905869, '600': 1.1328990263245753, '800': 1.2121053071712924, '1000': 1.248526516178001}","{'200': 0.29728476706357965, '400': 0.18413100024347515, '600': 0.1298634465228014, '800': 0.11473073833190121, '1000': 0.09908297934058571}","{'200': 0.0879873649820573, '400': 0.0611615409852377, '600': 0.05044572687520012, '800': 0.043863517468351085, '1000': 0.038747616929217306}","{'200': 0.052941078370005536, '400': 0.03635659131423547, '600': 0.030180794266807098, '800': 0.026150038002371933, '1000': 0.02314681122674464}",55.91111111111111,12.627698342615679
0.1,0.1,0.4,0.5,1e-08,0.1,3.2665213217057367,0.7379466533724265,"{'200': 0.24514992577071376, '400': 0.928702839904799, '600': 1.116390866912102, '800': 1.214650548459587, '1000': 1.2531422474198022}","{'200': 0.21437943932539583, '400': 0.16522174027147302, '600': 0.12783758963559855, '800': 0.09623185219314111, '1000': 0.0777868503992633}","{'200': 0.060458062002077824, '400': 0.042005959360301, '600': 0.034689531458864116, '800': 0.03026008452375608, '1000': 0.026749822523863414}","{'200': 0.03929106050599552, '400': 0.02740138914734096, '600': 0.02276043128777714, '800': 0.01986348830532169, '1000': 0.017599212391977113}",53.71111111111111,13.252458425552131
0.1,0.1,0.4,0.5,1e-08,0.3,3.115078539616503,0.781640284375947,"{'200': 0.2536510714346376, '400': 0.9290414343252074, '600': 1.1213570217697095, '800': 1.191231968170672, '1000': 1.238283598687166}","{'200': 0.2037786694768195, '400': 0.14141883829079477, '600': 0.11210639675700519, '800': 0.09549050360994216, '1000': 0.08305274670514248}","{'200': 0.0717893211701065, '400': 0.04968851371432478, '600': 0.04104788218573562, '800': 0.035853370601930126, '1000': 0.03170838140711682}","{'200': 0.03640302807803437, '400': 0.025434299396459022, '600': 0.021029867610952345, '800': 0.018467241292390628, '1000': 0.01636285474323928}",55.422222222222224,11.80863881305902
0.1,0.1,0.4,0.5,1e-08,0.5,3.211987181196718,0.8163868841734679,"{'200': 0.25323591095820996, '400': 0.9637478554409699, '600': 1.1622337680271893, '800': 1.2412416205368624, '1000': 1.2761394660068028}","{'200': 0.2535623852964641, '400': 0.1421344796878963, '600': 0.10996989437958613, '800': 0.10381386742794617, '1000': 0.08919900919308327}","{'200': 0.07027366654351597, '400': 0.04873193844865281, '600': 0.04043055698632871, '800': 0.03526050457085053, '1000': 0.031182366840197026}","{'200': 0.044008532338641985, '400': 0.03039389624628351, '600': 0.02559371476386722, '800': 0.022317914876306962, '1000': 0.019779291605892292}",59.2,14.2464030548065
0.1,0.1,0.4,0.5,1e-08,0.7,3.2480976255878247,0.7243020200515822,"{'200': 0.2377669238421073, '400': 0.9606703169363952, '600': 1.1417408400350004, '800': 1.2228778385222483, '1000': 1.2652586318018113}","{'200': 0.2279051026990402, '400': 0.1489627126272212, '600': 0.1230412064654061, '800': 0.11388138761026433, '1000': 0.09477743791015757}","{'200': 0.06789353955099241, '400': 0.04725775098200345, '600': 0.038926063891915545, '800': 0.03397833010868527, '1000': 0.030048736646568534}","{'200': 0.04380658616444782, '400': 0.03060003850409907, '600': 0.02541031055723021, '800': 0.022264741092800692, '1000': 0.019789944923107858}",55.08888888888889,13.601996948523931
0.1,0.1,0.4,0.5,1e-08,0.9,3.1961428025353156,0.7784253839497078,"{'200': 0.254390663821575, '400': 0.8885251598005779, '600': 1.095471439414416, '800': 1.1817262910010837, '1000': 1.2401041561731192}","{'200': 0.22036624096086932, '400': 0.1659566980257197, '600': 0.13164991472016918, '800': 0.13334079596521056, '1000': 0.10174466168244907}","{'200': 0.06452378743729338, '400': 0.044617022655971825, '600': 0.036869113306589034, '800': 0.03222463125655312, '1000': 0.028476871337355995}","{'200': 0.03485612278402174, '400': 0.024309543382362183, '600': 0.02027736081281598, '800': 0.017793260747443567, '1000': 0.015724214177233454}",57.2,14.257317809150189
0.1,0.1,0.4,0.7,1e-08,0.1,3.4002773555217756,0.8580480001044812,"{'200': 0.19948868036241593, '400': 0.9235081446400883, '600': 1.1246592893605993, '800': 1.1945326423947835, '1000': 1.232539303752236}","{'200': 0.19916938639152965, '400': 0.14957643714841148, '600': 0.09616409542925683, '800': 0.08203333689706448, '1000': 0.08341014134071127}","{'200': 0.029575192071486685, '400': 0.020735309558655095, '600': 0.017056092197908764, '800': 0.014863739311527301, '1000': 0.013120533902165983}","{'200': 0.019300442731469174, '400': 0.013829955121102848, '600': 0.011210694838901886, '800': 0.009729944597746587, '1000': 0.00853869443484738}",58.977777777777774,11.763387435199832
